STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
02085500,"FLAT RIVER AT BAHAMA, NC",Non-ref,SEPlains,384.6807,03,36.182778,-78.878889,NC,NA,yes,84,60,20
02086000,"DIAL CREEK NEAR BAHAMA, NC",Ref,SEPlains,12.2796,03,36.17681,-78.856396,NC,NA,NA,48,24,2
02086500,"FLAT RIVER AT DAM NEAR BAHAMA, NC",Non-ref,SEPlains,434.7468,03,36.148611,-78.828889,NC,NA,yes,55,33,11
0208650112,"FLAT RIVER TRIB NR WILLARDVILLE, NC",Ref,SEPlains,3.1302,03,36.131944,-78.833333,NC,NA,yes,17,17,16
02086624,"KNAP OF REEDS CREEK NEAR BUTNER, NC",Non-ref,SEPlains,108.5679,03,36.127922,-78.798339,NC,NA,yes,16,16,9
0208675010,"ELLERBE CREEK AT CLUB BOULEVARD AT DURHAM, NC",Non-ref,SEPlains,15.4845,03,36.01939,-78.89478,NC,NA,yes,1,1,1
02086849,"ELLERBE CREEK NEAR GORMAN, NC",Non-ref,SEPlains,56.67601,03,36.059311,-78.832507,NC,NA,yes,12,12,6
02087000,"NEUSE RIVER NEAR NORTHSIDE, NC",Non-ref,SEPlains,1384.016,03,36.048479,-78.749449,NC,NA,NA,53,31,0
02087183,"NEUSE RIVER NEAR FALLS, NC",Non-ref,SEPlains,1998.355,03,35.94,-78.580833,NC,NA,yes,39,39,20
0208726005,"CRABTREE CR AT EBENEZER CHURCH RD NR RALEIGH, NC",Non-ref,SEPlains,198.936,03,35.845278,-78.724444,NC,NA,yes,16,16,15
02087275,"CRABTREE CREEK AT HWY 70 AT RALEIGH, NC",Non-ref,SEPlains,253.5885,03,35.838056,-78.674167,NC,NA,yes,12,12,12
02087324,"CRABTREE CREEK AT US 1 AT RALEIGH, NC",Non-ref,SEPlains,315.361,03,35.811111,-78.610833,NC,NA,yes,19,19,19
0208732885,"MARSH CREEK NEAR NEW HOPE, NC",Non-ref,SEPlains,17.8308,03,35.816944,-78.593056,NC,NA,yes,25,25,20
0208735012,"ROCKY BRANCH BELOW PULLEN DRIVE AT RALEIGH, NC",Non-ref,SEPlains,3.1266,03,35.78,-78.666389,NC,NA,yes,13,13,13
02087359,"WALNUT CREEK AT SUNNYBROOK DRIVE NR RALEIGH, NC",Non-ref,SEPlains,77.03018,03,35.758333,-78.583056,NC,NA,yes,13,13,13
02087500,"NEUSE RIVER NEAR CLAYTON, NC",Non-ref,SEPlains,2987.484,03,35.647222,-78.405278,NC,NA,yes,82,60,20
02087570,"NEUSE RIVER AT SMITHFIELD, NC",Non-ref,SEPlains,3133.742,03,35.5125,-78.349444,NC,NA,NA,21,21,2
02087580,"SWIFT CREEK NEAR APEX, NC",Non-ref,SEPlains,53.93554,03,35.718889,-78.752222,NC,NA,yes,7,7,7
0208758850,"SWIFT CREEK NEAR MCCULLARS CROSSROADS, NC",Non-ref,SEPlains,92.664,03,35.693611,-78.692222,NC,NA,yes,19,19,18
0208773375,"SWIFT CREEK AT SR1555 NEAR CLAYTON, NC",Non-ref,SEPlains,293.886,03,35.575,-78.49861,NC,NA,yes,1,1,1
02088000,"MIDDLE CREEK NEAR CLAYTON, NC",Non-ref,SEPlains,201.4668,03,35.570833,-78.590556,NC,NA,yes,70,60,20
02088383,"LITTLE RIVER NEAR ZEBULON, NC",Non-ref,SEPlains,145.6218,03,35.82194,-78.35222,NC,NA,yes,1,1,1
02088470,"LITTLE RIVER NEAR KENLY, NC",Non-ref,SEPlains,489.7053,03,35.589048,-78.188051,NC,NA,NA,25,25,0
02088500,"LITTLE RIVER NEAR PRINCETON, NC",Non-ref,SEPlains,594.2367,03,35.511389,-78.160278,NC,NA,yes,79,60,20
02089000,"NEUSE RIVER NEAR GOLDSBORO, NC",Non-ref,SEPlains,6222.514,03,35.3375,-77.9975,NC,NA,yes,77,58,18
